title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
LABONITA Vital玻尿酸HA、B5泛醇修复安瓶精华液：保湿修复精华,血清B5 50毫升,9.5,https://cf.shopee.vn/file/vn-11134207-7r98o-luafoyy991y76c,http://shopee.vn/product/776074609/23584172351,Skincare,Facial Serum & Essence,IVCN202606251218,2.32701E+11,https://detail.1688.com/offer/728765219565.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,1688三档价格,6月25日,23584172351,32.5,热销品,,
BEIERMEI 抗皱精华液 30ml，蕴含视黄醇、透明质酸、烟酰胺和神经酰胺。天然保湿抗皱精华液。,BE-AA01+AA02,5.62,https://cf.shopee.com.br/file/br-11134207-7r98o-mb7ma69qpbwv09,http://shopee.com.br/product/1396264576/23598661494,Skincare,Facial Serum & Essence,IVCN202606251220,1.69718E+11,"https://detail.1688.com/offer/634112395924.html?spm=a26352.13672862.offerlist.4.45a01e62Lvx9qx
 https://detail.1688.com/offer/843064232038.html?spm=a26352.13672862.offerlist.39.22281e62bYPoeV&cosite=-&tracelog=p4p&_p_isad=1&clickid=64cc42213f7549d99fa512ee8f9a97be&sessionid=92b7f828ae1fdeae5e5b181140642791",1688三档价格,6月25日,23598661494,5.62,热销品,,
艺伎眼部护肤套装，含烟酰胺啫喱和木芥子娃娃,细线,5.75,https://cf.shopee.com.br/file/br-11134207-820me-mn63irx8osu802,http://shopee.com.br/product/395166866/23599133625,Skincare,Facial Moisturizer,IVCN202606251222,2.38795E+11,https://detail.1688.com/offer/633130571247.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,1688三档价格,6月25日,23599133625,8.06,热销品,,
娇润泉JOYRUQO Glorious Face Clear Cleanser (100g) 娇润泉臻颜净透洁面乳洗脸霜小杨哥七老板推荐三只羊,【更省钱】100克*2,46.08,https://cf.shopee.com.my/file/my-11134207-7rasi-m7i9vvj76pft6f,http://shopee.com.my/product/824084836/23658697251,Skincare,Facial Cleanser,IVCN202606251224,2.0467E+11,https://detail.1688.com/offer/964862846264.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,23658697251,46.08,热销品,,
娇润泉JOYRUQO Glorious Face Clear Cleanser (100g) 娇润泉臻颜净透洁面乳洗脸霜小杨哥七老板推荐三只羊,【超值优惠】100克*3,67.77,https://cf.shopee.com.my/file/my-11134207-7rasc-m7i9vxj29jfj23,http://shopee.com.my/product/824084836/23658697251,Skincare,Facial Cleanser,IVCN202606251226,2.0467E+11,https://detail.1688.com/offer/964862846264.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,23658697251,67.77,热销品,,
10片装 BANOBAGI 维他命果冻面膜 维他命面膜，美白、保湿、抗衰老 30毫升,10件精选单品组合,2,https://cf.shopee.vn/file/vn-11134207-820l4-mel5j2z5ga2oe7,http://shopee.vn/product/1052932741/23660101536,Skincare,Face Mask & Packs,IVCN202606251228,1.3787E+11,https://detail.1688.com/offer/677740660058.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,23660101536,11.97,热销品,,
【货到付款】Bioten 营养钙面霜 30ml | 更年期抗衰老护肤修复舒缓肌肤,【货到付款】Bioten 营养钙面霜 30ml | 更年期抗衰老护肤修复舒缓肌肤,7,https://cf.shopee.ph/file/ph-11134207-820lg-mp1k9yughdsd90,http://shopee.ph/product/254887331/23671676646,Skincare,Facial Serum & Essence,IVCN202606251230,49670986239,https://detail.1688.com/offer/582899343799.html?spm=a26352.13672862.offerlist.19.59d74b30oaBv5M&cosite=-&tracelog=p4p&_p_isad=1&clickid=be6ce0b21300423980c3c0bbf802204d&sessionid=ba65f10f5fa45cab0b35b2bcb8344eca,1688三档价格,6月25日,23671676646,23.13,热销品,,
（直播）（赠送5支试用装面霜）Prettyskin B5 强效保湿修护精华液 50ml,油性肌肤专用版,6,https://cf.shopee.vn/file/vn-11134207-81ztc-mo7uqk4175dt6b,http://shopee.vn/product/737621633/23683914431,Skincare,Facial Serum & Essence,IVCN202606251232,1.38794E+11,https://detail.1688.com/offer/909308198785.html?lang=zh&kjSource=pc&fromkv=refer:HVHFESCLLBNFUR2BGRKEOTKCLFDUKNCUKFHFUWKHKZIFOWJUINGE2VRULBHTGM2TJVJEUV2LLFGFGTKOKVDDMTKKLBDVSM2EJNHFEV2HJEZVIUKNJJKEOWSQLBLTOSKN&bizType=saasTool&customerId=alipriceLP,1688三档价格,6月25日,23683914431,36.36,热销品,,
Ekseption 玻尿酸 B5 精华液，含 5% 玻尿酸和维生素 B5，滋润并修复肌肤，75ml，不粘腻。,Ekseption 玻尿酸 B5 精华液，含 5% 玻尿酸和维生素 B5，滋润并修复肌肤，75ml，不粘腻。,2.7,https://cf.shopee.vn/file/vn-11134207-81ztc-mp4s877krfnvd5,http://shopee.vn/product/672181644/23690734806,Skincare,Facial Serum & Essence,IVCN202606251234,2.5814E+11,,1688三档价格,6月25日,23690734806,101.15,热销品,,
【Torriden官方】平衡型积雪草舒缓保湿霜，适用于受损肌肤，修复易长痘肌肤，80毫升,80毫升,9.42,https://cf.shopee.com.my/file/my-11134207-23010-10pzncdbqqmvc9,http://shopee.com.my/product/436344779/23711548944,Skincare,Facial Moisturizer,IVCN202606251236,2.13558E+11,https://detail.1688.com/offer/873495684191.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i40&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,23711548944,9.42,热销品,,
Actidem 祛痘凝胶，18/40克,Derma Extra - 18克,1.6,https://cf.shopee.vn/file/vn-11134207-81ztc-mlvwsb462tj7fa,http://shopee.vn/product/4967860/23731638769,Skincare,Acne Treatment,IVCN202606251238,2.46379E+11,https://detail.1688.com/offer/890996912939.html?spm=a26352.13672862.offerlist.59.50f61e625OhWPn&cosite=-&tracelog=p4p&_p_isad=1&clickid=286a0d6c920a4137b36d8195147df976&sessionid=79f478df9a917e0eb04284653e7a118c,1688三档价格,6月25日,23731638769,3.29,热销品,,
Isntree 超级维生素 C 23 精华液 20ml 已补货,Isntree 超级维生素 C 23 精华液 20ml 已补货,10,https://cf.shopee.ph/file/sg-11134207-7rbkc-lprmas52382yaa,http://shopee.ph/product/430960361/23767376184,Skincare,Facial Serum & Essence,IVCN202606251242,1.27576E+11,https://detail.1688.com/offer/824186483612.html?spm=a26352.13672862.offerlist.42.64732534ZKr4ly&cosite=-&tracelog=p4p&_p_isad=1&clickid=e8861e5447a24b95aba8b619486c41bb&sessionid=75ccfed6917c27397aecf2e7a2505143,1688三档价格,6月25日,23767376184,30.78,热销品,,
Isntree 超级维生素 C 23 精华液 20ml 已补货,Isntree 超级维生素 C 23 精华液 20ml 已补货,10,https://cf.shopee.ph/file/sg-11134207-7rbkc-lprmas52382yaa,http://shopee.ph/product/430960361/23767376184,Skincare,Facial Serum & Essence,IVCN202606251242,1.27576E+11,https://detail.1688.com/offer/824186483612.html?spm=a26352.13672862.offerlist.42.64732534ZKr4ly&cosite=-&tracelog=p4p&_p_isad=1&clickid=e8861e5447a24b95aba8b619486c41bb&sessionid=75ccfed6917c27397aecf2e7a2505143,1688三档价格,6月25日,23767376184,30.78,热销品,,
Isntree 超级维生素 C 23 精华液 20ml 已补货,Isntree 超级维生素 C 23 精华液 20ml 已补货,10,https://cf.shopee.ph/file/sg-11134207-7rbkc-lprmas52382yaa,http://shopee.ph/product/430960361/23767376184,Skincare,Facial Serum & Essence,IVCN202606251242,1.27576E+11,https://detail.1688.com/offer/824186483612.html?spm=a26352.13672862.offerlist.42.64732534ZKr4ly&cosite=-&tracelog=p4p&_p_isad=1&clickid=e8861e5447a24b95aba8b619486c41bb&sessionid=75ccfed6917c27397aecf2e7a2505143,1688三档价格,6月25日,23767376184,30.78,热销品,,
Bio-essence Bio-Gold 24K玫瑰金保湿凝胶 40克,凝胶40克27.7.23,5,https://cf.shopee.com.my/file/my-11134207-7r98w-lpei8ruoe2dsb7,http://shopee.com.my/product/193290472/23775057225,Skincare,Facial Moisturizer,IVCN202606251246,2.14464E+11,https://detail.1688.com/offer/731498700302.html?spm=a26352.13672862.offerlist.40.2ebe1e62WMB0oS&offerId=731498700302&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=79f6a12e7d854f22a1cf71e04b43cba9&skuId=5065617384780&forcePC=1764217472380,1688三档价格,6月25日,23775057225,22.72,热销品,,
Dr.PONG 711 无毛孔隐形精华液 16毫升,Dr.PONG 711 无毛孔隐形精华液 16毫升,3.5,https://cf.shopee.vn/file/br-11134201-820m4-mokhkjk64jy865,http://shopee.vn/product/415205844/23831197092,Skincare,Facial Serum & Essence,IVCN202606251248,1.56713E+11,https://detail.1688.com/offer/905182430749.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,23831197092,3.6,热销品,,
"DRCEUTICS 强效面霜 300,000 IU (35 克) - 含维生素 A 的抗衰老紧致面霜",35克 日期（2026-10-24）,1.2,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9fptttlebes20,http://shopee.vn/product/473985496/23845842817,Skincare,Facial Moisturizer,IVCN202606251250,2.5339E+11,https://detail.1688.com/offer/967988268835.html?fromkv=cbuPcPlugin:searchEngineRecommend&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,23845842817,21.43,热销品,,
blk cosmetics 通用调色保湿润唇膏 mlbb（润唇膏）,blk cosmetics 通用调色保湿润唇膏 mlbb（润唇膏）,5.5,https://cf.shopee.ph/file/ph-11134207-81ztd-mlxbihvvs93579,http://shopee.ph/product/62677292/2385970734,Skincare,Lip Treatment,IVCN202606251252,30422995978,https://detail.1688.com/offer/819459762767.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2166083e17570573835952776e0c93&token=NpOWm5UeF7QVQ86bGSFZ8AIvYn1zrXPbv36ZBXB5TDk1f2Iumh%2BsT%2FgeWavTAf9N,1688三档价格,6月25日,2385970734,5.55,热销品,,Lip Balm
【买一送一】WM Pencuci 面部洁面慕斯氨基酸 150 毫升，含韩国进口成分,【买一送一】WM Pencuci 面部洁面慕斯氨基酸 150 毫升，含韩国进口成分,9,https://cf.shopee.com.my/file/my-11134207-7r992-ly7yxxk6l7q8a3,http://shopee.com.my/product/305844764/23981786605,Skincare,Facial Cleanser,IVCN202606251254,2.25685E+11,https://detail.1688.com/offer/623116849344.html?s,1688三档价格,6月25日,23981786605,12.47,热销品,,
Jumiso蜗牛粘液95+胜肽面部精华（50毫升/140毫升）,140毫升,7.81,https://cf.shopee.com.my/file/my-11134207-7rasb-mbg7ymy33i071e,http://shopee.com.my/product/1148240929/23989030266,Skincare,Facial Serum & Essence,IVCN202606251256,2.33732E+11,https://detail.1688.com/offer/900646366927.html?lang=zh&kjSource=pc&fromkv=refer:HVHFESCLLBNFUR2BLFCE2TSCK5DU2M2EJVHUUU2HGVIFOWJUINGE2VRULBHTGM2TJVJEUV2LLFGFGTKOKVDDMTKKLBDVSM2EJNHFEVCHJE2EIQKOKJNEOQSQLBLTOSKN&bizType=saasTool&customerId=alipriceLP,1688三档价格,6月25日,23989030266,7.81,热销品,,
维生素C樱桃泡沫洁面乳，清洁、保湿、提亮肤色（150毫升）,维生素C樱桃泡沫洁面乳，清洁、保湿、提亮肤色（150毫升）,8.75,https://cf.shopee.vn/file/vn-11134207-81ztc-mp3dpuhl14wb86,http://shopee.vn/product/134371556/24035668659,Skincare,Facial Cleanser,IVCN202606251258,2.41532E+11,https://detail.1688.com/offer/693896915073.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24035668659,15.52,热销品,,
[VT] Reedle Shot 紧致眼霜 15ml Liposome100，提升肌肤弹性，保湿 [官方旗舰款],提拉眼霜,13.65,https://cf.shopee.com.my/file/sg-11134207-7rbn9-low636eh1pu057,http://shopee.com.my/product/213974049/24052727476,Skincare,Eye Treatment,IVCN202606251260,79378334116,https://detail.1688.com/offer/981351865041.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17663714574112429e0dc6&token=CDQO21WEwy%2BVop3V06Q%2By%2BiSAXulOeuV%2FwJI9WDQqEKEWBWMcSS6%2BsgKCKGZ1mIE,1688三档价格,6月25日,24052727476,13.65,热销品,,Eye Cream
[VT] Reedle Shot 紧致眼霜 15ml Liposome100，提升肌肤弹性，保湿 [官方旗舰款],提拉眼霜,13.65,https://cf.shopee.com.my/file/sg-11134207-7rbn9-low636eh1pu057,http://shopee.com.my/product/213974049/24052727476,Skincare,Eye Treatment,IVCN202606251260,79378334116,https://detail.1688.com/offer/981351865041.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17663714574112429e0dc6&token=CDQO21WEwy%2BVop3V06Q%2By%2BiSAXulOeuV%2FwJI9WDQqEKEWBWMcSS6%2BsgKCKGZ1mIE,1688三档价格,6月25日,24052727476,13.65,热销品,,Eye Cream
[VT] Reedle Shot 紧致眼霜 15ml Liposome100，提升肌肤弹性，保湿 [官方旗舰款],提拉眼霜,13.65,https://cf.shopee.com.my/file/sg-11134207-7rbn9-low636eh1pu057,http://shopee.com.my/product/213974049/24052727476,Skincare,Eye Treatment,IVCN202606251260,79378334116,https://detail.1688.com/offer/981351865041.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17663714574112429e0dc6&token=CDQO21WEwy%2BVop3V06Q%2By%2BiSAXulOeuV%2FwJI9WDQqEKEWBWMcSS6%2BsgKCKGZ1mIE,1688三档价格,6月25日,24052727476,13.65,热销品,,Eye Cream
元真特效面膜 30g - 保湿、提亮、修护肌肤 - 正品韩国产品,10 金 - 美白肌肤,19,https://cf.shopee.vn/file/vn-11134207-7ras8-mcepzp0nv7t127,http://shopee.vn/product/3010901/24054405151,Skincare,Face Mask & Packs,IVCN202606251266,2.50241E+11,https://detail.1688.com/offer/599450440509.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24054405151,19,热销品,,
[KOL-VT] 微针精华液 100 / 300 / 700 – 肌肤再生、修复、紧致精华液，积雪草提取物 [正品旗舰产品],里德尔射击 700,12,https://cf.shopee.vn/file/sg-11134207-81zum-miml65wihddu53,http://shopee.vn/product/537771727/24071335967,Skincare,Facial Serum & Essence,IVCN202606251268,1.58568E+11,https://detail.1688.com/offer/817932534365.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24071335967,49.85,热销品,,
[KOL-VT] 微针精华液 100 / 300 / 700 – 肌肤再生、修复、紧致精华液，积雪草提取物 [正品旗舰产品],里德尔射击 700,12,https://cf.shopee.vn/file/sg-11134207-81zum-miml65wihddu53,http://shopee.vn/product/537771727/24071335967,Skincare,Facial Serum & Essence,IVCN202606251268,1.58568E+11,https://detail.1688.com/offer/817932534365.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24071335967,49.85,热销品,,
[KOL-VT] 微针精华液 100 / 300 / 700 – 肌肤再生、修复、紧致精华液，积雪草提取物 [正品旗舰产品],里德尔射击 700,12,https://cf.shopee.vn/file/sg-11134207-81zum-miml65wihddu53,http://shopee.vn/product/537771727/24071335967,Skincare,Facial Serum & Essence,IVCN202606251268,1.58568E+11,https://detail.1688.com/offer/817932534365.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24071335967,49.85,热销品,,
[KOL-VT] 微针精华液 100 / 300 / 700 – 肌肤再生、修复、紧致精华液，积雪草提取物 [正品旗舰产品],里德尔射击 700,12,https://cf.shopee.vn/file/sg-11134207-81zum-miml65wihddu53,http://shopee.vn/product/537771727/24071335967,Skincare,Facial Serum & Essence,IVCN202606251268,1.58568E+11,https://detail.1688.com/offer/817932534365.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24071335967,49.85,热销品,,
SOLA Veedle Shot 400 50毫升,SOLA Veedle Shot 400 50毫升,12,https://cf.shopee.ph/file/ph-11134207-820lh-mop6ejqs5q802e,http://shopee.ph/product/1196296839/24085006801,Skincare,Facial Serum & Essence,IVCN202606251276,88982357627,https://detail.1688.com/offer/967147986475.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24085006801,18.03,热销品,,
Fresh Skinlab 番茄水光肌三合一维生素C亮肤精华霜 SPF 30 40毫升,Fresh Skinlab 番茄水光肌三合一维生素C亮肤精华霜 SPF 30 40毫升,10.28,https://cf.shopee.ph/file/ph-11134201-7r98x-lqyxxpba40lxa2,http://shopee.ph/product/236433920/24111028791,Skincare,Facial Serum & Essence,IVCN202606251278,1.47189E+11,https://detail.1688.com/offer/976991406713.html?spm=a26352.13672862.offerlist.47.17ab3c46gEVBpw&cosite=-&tracelog=p4p&_p_isad=1&clickid=b0cca37ea2264ea08c63e70bb5a81bbf&sessionid=90652ceb6f06984893c26600537e9942,1688三档价格,6月25日,24111028791,10.28,热销品,,
珀莱雅Proya Repairing Soothing Facial Mask 15 Mins Rescue Masker Muka Skin Barrier Repair Redness Relief Hydrating 源力面膜,5件,20.13,https://cf.shopee.com.my/file/my-11134207-820lg-moesb6w51rt9bf,http://shopee.com.my/product/1082442678/24121583436,Skincare,Face Mask & Packs,IVCN202606251282,2.07497E+11,https://detail.1688.com/offer/808212783014.html?spm=a26352.b28411319.offerlist.6.4fe71e62RiP9Ps,1688三档价格,6月25日,24121583436,20.13,热销品,,
珀莱雅Proya Repairing Soothing Facial Mask 15 Mins Rescue Masker Muka Skin Barrier Repair Redness Relief Hydrating 源力面膜,5件,20.13,https://cf.shopee.com.my/file/my-11134207-820lg-moesb6w51rt9bf,http://shopee.com.my/product/1082442678/24121583436,Skincare,Face Mask & Packs,IVCN202606251282,2.07497E+11,https://detail.1688.com/offer/808212783014.html?spm=a26352.b28411319.offerlist.6.4fe71e62RiP9Ps,1688三档价格,6月25日,24121583436,20.13,热销品,,
[CNP] 蜂胶润唇膏 - 修复并滋润双唇长达12小时 - 蜂胶润唇膏 15毫升,[CNP] 蜂胶润唇膏 - 修复并滋润双唇长达12小时 - 蜂胶润唇膏 15毫升,4.12,https://cf.shopee.vn/file/sg-11134201-823ov-mp23u5mi3xu41d,http://shopee.vn/product/188386309/24174293330,Skincare,Lip Treatment,IVCN202606251284,1.97435E+11,https://detail.1688.com/offer/809476118507.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,24174293330,4.12,热销品,,Lip Balm
【REJURAN】保湿霜 60克 | 补水、强化屏障、长效保湿,【REJURAN】保湿霜 60克 | 补水、强化屏障、长效保湿,13,https://cf.shopee.com.my/file/sg-11134207-81ztg-mn6z3sa9pxqca1,http://shopee.com.my/product/1243235725/24189121315,Skincare,Facial Moisturizer,IVCN202606251286,2.42186E+11,https://detail.1688.com/offer/900607578417.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,24189121315,54.24,热销品,,
【REJURAN】保湿霜 60克 | 补水、强化屏障、长效保湿,【REJURAN】保湿霜 60克 | 补水、强化屏障、长效保湿,13,https://cf.shopee.com.my/file/sg-11134207-81ztg-mn6z3sa9pxqca1,http://shopee.com.my/product/1243235725/24189121315,Skincare,Facial Moisturizer,IVCN202606251286,2.42186E+11,https://detail.1688.com/offer/900607578417.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,24189121315,54.24,热销品,,
【REJURAN】保湿霜 60克 | 补水、强化屏障、长效保湿,【REJURAN】保湿霜 60克 | 补水、强化屏障、长效保湿,13,https://cf.shopee.com.my/file/sg-11134207-81ztg-mn6z3sa9pxqca1,http://shopee.com.my/product/1243235725/24189121315,Skincare,Facial Moisturizer,IVCN202606251286,2.42186E+11,https://detail.1688.com/offer/900607578417.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,24189121315,54.24,热销品,,
ILLIYOON 神经酰胺浓缩霜 200毫升,默认,13.8,https://cf.shopee.com.my/file/my-11134207-820li-meu2gcs1nfnk3a,http://shopee.com.my/product/382886147/24209910745,Skincare,Facial Moisturizer,IVCN202606251292,2.55254E+11,https://detail.1688.com/offer/978388496137.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24209910745,42.1,热销品,,
3CE Shine Reflector唇膏唇彩，清凉薄荷保湿配方，蕴含滋润精油，持久闪亮,风雨无阻,50.03,https://cf.shopee.com.my/file/my-11134207-7ras8-md4t13p5ivibd3,http://shopee.com.my/product/1363205208/24238498153,Skincare,Lip Treatment,IVCN202606251294,2.4706E+11,https://detail.1688.com/offer/822298892545.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24238498153,50.03,热销品,,Lip Balm
[官方经销商] EVIOR MAXLIM 安瓿瓶,[官方经销商] EVIOR MAXLIM 安瓿瓶,3.8,https://cf.shopee.com.my/file/my-11134207-820l9-ml8qti3bozcx4d,http://shopee.com.my/product/175884461/24240278313,Skincare,Facial Serum & Essence,IVCN202606251296,1.58971E+11,https://detail.1688.com/offer/855968628273.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24240278313,5.38,热销品,,
skin1004 马达加斯加积雪草清爽毛孔安瓶 100毫升、50毫升、30毫升,新鲜安瓿 100ml,10,https://cf.shopee.com.br/file/sg-11134207-7rce3-lr868rvq2ym432,http://shopee.com.br/product/457864097/24261934040,Skincare,Facial Serum & Essence,IVCN202606251298,2.45302E+11,https://detail.1688.com/offer/890680655734.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24261934040,18.59,热销品,,
Capadosa | 祛斑霜和肉毒杆菌美白霜，SPF 70,10克,3.32,https://cf.shopee.ph/file/cn-11134207-7r98o-lu4rpzylc1o368,http://shopee.ph/product/1197423103/24324161089,Skincare,Facial Moisturizer,IVCN202606251300,89545230845,https://detail.1688.com/offer/873350909388.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24324161089,3.32,热销品,,
TIAM 蜗牛蓝甘菊洁面乳，蕴含蜗牛提取物和洋甘菊成分（200毫升和400毫升）——温和清洁油性肌肤,200毫升管,5.41,https://cf.shopee.vn/file/vn-11134207-7ras8-mapeakwin4rb2f,http://shopee.vn/product/3010901/24328435159,Skincare,Facial Cleanser,IVCN202606251302,2.95296E+11,https://detail.1688.com/offer/726527944658.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17748612155645624e0f43&token=CaT%2FjWp8ll5tQh26KJF94nS2OQtGw2zRmMT%2BCX0fbCuduuBXx2JrXXIldg2eGgkS,1688三档价格,6月25日,24328435159,5.41,热销品,,
Belo Essentials AHA BHA 焕肤精华液 30毫升,Belo Essentials AHA BHA 焕肤精华液 30毫升,7,https://cf.shopee.ph/file/ph-11134207-7rask-m95omwuubtzh2a,http://shopee.ph/product/9217434/24361516310,Skincare,Facial Serum & Essence,IVCN202606251304,2.36028E+11,https://detail.1688.com/offer/892629971312.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,24361516310,10.44,热销品,,
SACE LADY 水杨酸祛痘贴 祛痘护理 防水祛痘贴 108片装,108片装祛痘贴,2.8,https://cf.shopee.ph/file/cn-11134207-7r98o-lt4q9syf9jn156,http://shopee.ph/product/54469408/24370082733,Skincare,Acne Treatment,IVCN202606251306,1.97386E+11,https://detail.1688.com/offer/605895425387.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,24370082733,2.8,热销品,,
[VT] 2毫升*10支芦苇酒棒 & 10毫升迷你芦苇酒礼盒,Reedle Shot 100支装球杆包,3.15,https://cf.shopee.vn/file/sg-11134207-824g6-meh02r9h3b4142,http://shopee.vn/product/537771727/24383882046,Skincare,Facial Serum & Essence,IVCN202606251308,1.76588E+11,https://detail.1688.com/offer/868478190035.html?spm=a26352.b28411319.offerlist.6.24541e62jbWI7X,1688三档价格,6月25日,24383882046,3.15,热销品,,
[VT] 2毫升*10支芦苇酒棒 & 10毫升迷你芦苇酒礼盒,Reedle Shot 100支装球杆包,3.15,https://cf.shopee.vn/file/sg-11134207-824g6-meh02r9h3b4142,http://shopee.vn/product/537771727/24383882046,Skincare,Facial Serum & Essence,IVCN202606251308,1.76588E+11,https://detail.1688.com/offer/868478190035.html?spm=a26352.b28411319.offerlist.6.24541e62jbWI7X,1688三档价格,6月25日,24383882046,3.15,热销品,,
[VT] 2毫升*10支芦苇酒棒 & 10毫升迷你芦苇酒礼盒,Reedle Shot 100支装球杆包,3.15,https://cf.shopee.vn/file/sg-11134207-824g6-meh02r9h3b4142,http://shopee.vn/product/537771727/24383882046,Skincare,Facial Serum & Essence,IVCN202606251308,1.76588E+11,https://detail.1688.com/offer/868478190035.html?spm=a26352.b28411319.offerlist.6.24541e62jbWI7X,1688三档价格,6月25日,24383882046,3.15,热销品,,
[VT] 2毫升*10支芦苇酒棒 & 10毫升迷你芦苇酒礼盒,Reedle Shot 100支装球杆包,3.15,https://cf.shopee.vn/file/sg-11134207-824g6-meh02r9h3b4142,http://shopee.vn/product/537771727/24383882046,Skincare,Facial Serum & Essence,IVCN202606251308,1.76588E+11,https://detail.1688.com/offer/868478190035.html?spm=a26352.b28411319.offerlist.6.24541e62jbWI7X,1688三档价格,6月25日,24383882046,3.15,热销品,,
Cosan祛痘、淡化疤痕、修复肌肤精华液两件套 - 包括30毫升祛痘精华液 + 30毫升滋养精华液,组合2精华液,5.5,https://cf.shopee.vn/file/vn-11134207-7r98o-lq0qjajv2refd7,http://shopee.vn/product/1074852737/24406231704,Skincare,Facial Serum & Essence,IVCN202606251316,2.45163E+11,"https://detail.1688.com/offer/741792449559.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=ed87ca521eb5ac2ea7f902b9e8b17e3b
 https://detail.1688.com/offer/826220850111.html?spm=a26352.13672862.offerlist.115.6acb1e62wu4rDV&cosite=-&tracelog=p4p&_p_isad=1&clickid=e0618cfc9ac24853b270ced90313e0f7&sessionid=b1716725c4df46af91903ad490151fc8",1688三档价格,6月25日,24406231704,51.4,热销品,,
