title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
PDRN 玻尿酸紧致亮肤精华液 – ANUA PDRN 玻尿酸胶囊精华液 30ml,PDRN 玻尿酸紧致亮肤精华液 – ANUA PDRN 玻尿酸胶囊精华液 30ml,5,https://cf.shopee.vn/file/vn-11134207-81ztc-mpdkn68yvgni14,http://shopee.vn/product/1522796490/40551520349,Skincare,Facial Serum & Essence,IVCN2026082113326,2.75123E+11,https://detail.1688.com/offer/905914363360.html?spm=a26352.b28411319.offerlist.6.600c1e62eD35yC,1688三档价格,46255,40551520349,5,热销品,,
祛痘贴组合装（2片），帮助减少痘痘挤出后的炎症，淡化色斑 - Derma Angel 祛斑美白贴 12片装,未指定,3.47,https://cf.shopee.vn/file/vn-11134207-7r98o-lvu6cb409hp77e,http://shopee.vn/product/747237580/28201164246,Skincare,Acne Treatment,IVCN2026082113328,59427044502,https://detail.1688.com/offer/785903245082.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,28201164246,3.47,热销品,,
肌研保湿轻盈面霜 50克,默认,38.8,https://cf.shopee.com.my/file/my-11134207-820lc-mrjtfffg0webfd,http://shopee.com.my/product/28285874/384102905,Skincare,Facial Moisturizer,IVCN2026082113330,31048960499,https://detail.1688.com/offer/1047738031555.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,384102905,38.8,热销品,,
Numbuzin No.5 谷胱甘肽C淡斑激光霜 50毫升,激光霜 50毫升,69.48,https://cf.shopee.com.br/file/sg-11134207-824ii-mpugfmpykc1u79,http://shopee.com.br/product/457864097/52262716755,Skincare,Facial Moisturizer,IVCN2026082113332,2.87724E+11,,1688三档价格,46255,52262716755,69.48,热销品,,
VT PDRN 眼部提拉精华液 15毫升,VT PDRN 眼部提拉精华液 15毫升,64.84,https://cf.shopee.sg/file/sg-11134207-8260f-mkdh8ta2x340ad,http://shopee.sg/product/259319699/43578621694,Skincare,Eye Treatment,IVCN2026082113334,3.02391E+11,,1688三档价格,46255,43578621694,64.84,热销品,,
妮维雅夜间修护润唇膏 4.8克 / 护理 / 润唇膏 / 唇部护理,4.8克,9.01,https://cf.shopee.com.my/file/my-11134201-7rasl-m3ybiyss6txd95,http://shopee.com.my/product/25459176/13683583059,Skincare,Lip Treatment,IVCN2026082113336,1.56968E+11,https://detail.1688.com/offer/824961324311.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,13683583059,9.01,热销品,,
雅姿 (ARTISTRY) 维生素 C+HA3 日常精华液 - 液体 12ml，粉末 1.34g,普通的,1.4,https://cf.shopee.com.my/file/my-11134207-7ras9-m49oae938fztaa,http://shopee.com.my/product/499051134/26471890082,Skincare,Facial Serum & Essence,IVCN2026082113338,2.57516E+11,https://detail.1688.com/offer/623217623733.html?kj_agent_plugin=aliprice&fromkv=xytTrace:210702e017736415316307891e1053&token=TiXVKr2QzN7upah2NYYP6t4RMukzT2bwFwsQVF9ZeqNQbCPkElXxn%2BrakkWtO30i,1688三档价格,46255,26471890082,1.4,热销品,,
DALA 优质吸油纸 100片装 活性炭吸油纸 - 带镜子,更好的吸墨纸蓝,11.12,https://cf.shopee.ph/file/ph-11134207-81zth-mftbrkbd3wgac1,http://shopee.ph/product/42607043/27564761686,Skincare,Blotting Paper,IVCN2026082113340,2.96954E+11,,1688三档价格,46255,27564761686,11.12,热销品,,
【悦诗风吟官方】维C亮白精华液 30ml - 维C，淡斑，维C，瑕疵肌肤，胶囊型,30毫升,101.15,https://cf.shopee.sg/file/sg-11134207-7rdwf-m01v6f4gnsjt02,http://shopee.sg/product/71756544/23968092305,Skincare,Facial Serum & Essence,IVCN2026082113342,2.17761E+11,,1688三档价格,46255,23968092305,101.15,热销品,,
Emmie Luminyouth M.R.E 浓缩夜间精华液 - 抗衰老，减少皱纹 - 30毫升装,Emmie Luminyouth M.R.E 浓缩夜间精华液 - 抗衰老，减少皱纹 - 30毫升装,2.1,https://cf.shopee.vn/file/vn-11134207-81ztc-mr1s4l8261omeb,http://shopee.vn/product/52045633/27568335173,Skincare,Facial Serum & Essence,IVCN2026082113344,2.86222E+11,https://detail.1688.com/offer/729236268375.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,27568335173,2.1,热销品,,
VT COSMETICS PDRN 微针眼部提拉精华液，15毫升（原装产品/补充装）,原装正品,72.46,https://cf.shopee.com.br/file/sg-11134207-8259b-mg94a4bb60p99a,http://shopee.com.br/product/920292999/44108659463,Skincare,Eye Treatment,IVCN2026082115406,2.44011E+11,,1688三档价格,46255,44108659463,72.46,热销品,,
SKIN1004 马达加斯加积雪草 PDRN 1.5 乳霜 30ml,PDRN 1.5 乳膏 30毫升,68.17,https://cf.shopee.com.br/file/sg-11134207-824iy-mpszerap105p9c,http://shopee.com.br/product/457864097/47862685023,Skincare,Facial Moisturizer,IVCN2026082113348,3.81099E+11,,1688三档价格,46255,47862685023,68.17,热销品,,
Skin1004 马达加斯加积雪草茶-Trica B5 面霜 75ml,B5乳霜 75毫升,31.51,https://cf.shopee.com.br/file/sg-11134207-7rcet-lr84zkirhjxk74,http://shopee.com.br/product/457864097/24561934876,Skincare,Facial Moisturizer,IVCN2026082113350,79744141412,,1688三档价格,46255,24561934876,31.51,热销品,,
买一送一：[Klairs] 亮白鲜榨维生素滴剂,买一送一：[Klairs] 亮白鲜榨维生素滴剂,24,https://cf.shopee.ph/file/sg-11134207-7rccb-m6nek9jhric241,http://shopee.ph/product/332749547/21074651871,Skincare,Facial Serum & Essence,IVCN2026082114264,1.75641E+11,https://detail.1688.com/offer/895758102680.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,21074651871,24,热销品,,
[30毫升] AUVI祛痘精华液 - 有效减少痘痘并控制油脂分泌,物品有凹痕。,10.8,https://cf.shopee.vn/file/vn-11134207-81ztc-mqoxral0cvsxff,http://shopee.vn/product/20018783/15164312372,Skincare,Facial Serum & Essence,IVCN2026082113354,2.91231E+11,https://detail.1688.com/offer/830328668394.html?spm=a26352.13672862.offerlist.19.69b71e62nart6k&cosite=-&tracelog=p4p&_p_isad=1&clickid=796f7e0e66e1477ea7364bc705e834f4&sessionid=fad8492cdbb35577858771ef0e8570de,1688三档价格,46255,15164312372,10.8,热销品,,
DrCeutics基础爽肤水，标准爽肤水，保湿舒缓爽肤水，200毫升,基础型 - 油性肌肤,5.63,https://cf.shopee.vn/file/sg-11134201-22110-4gn8nw7ispjv83,http://shopee.vn/product/776074609/10198531212,Skincare,Toner,IVCN2026082113356,1.9314E+11,https://detail.1688.com/offer/889806241336.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,10198531212,5.63,热销品,,
【Round Lab】RoundLab桦树汁亮肤防晒霜 50ml,1个,32.81,https://cf.shopee.ph/file/sg-11134207-7qvdb-lkarlijv468if4,http://shopee.ph/product/291229433/23944540416,Skincare,Face Sunscreen,IVCN2026082113358,2.06793E+11,,1688三档价格,46255,23944540416,32.81,热销品,,
【2026新品】达卡米黑参晚霜 - 美白、淡斑、减少皱纹、焕活肌肤 - 30克盒装,【2026新品】达卡米黑参晚霜 - 美白、淡斑、减少皱纹、焕活肌肤 - 30克盒装,5.7,https://cf.shopee.vn/file/vn-11134207-81ztc-mqbohk6bukuj6a,http://shopee.vn/product/1712565991/49054191450,Skincare,Facial Moisturizer,IVCN2026082113360,3.10396E+11,https://detail.1688.com/offer/861040294838.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17737332258576159e102b&token=fOZk%2BG4y3PfMaPiHawZQvW6ecK5IbSomUEFqyPSciNxa%2FzUtlCTA%2FIKBkyrrROt%2B,1688三档价格,46255,49054191450,5.7,热销品,,
兰芝唇部光泽轻盈保湿润唇膏乳木果油亮泽唇彩精华果香甜甜圈唇油护理,肉桂糖 6 号,21.74,https://cf.shopee.ph/file/sg-11134201-821eq-mgrlft00wx71b3,http://shopee.ph/product/743012232/44126206203,Skincare,Lip Treatment,IVCN2026082113362,4.05087E+11,,1688三档价格,46255,44126206203,21.74,热销品,,
Romand 熔化膏 Rom&nd,06 所以图,15,https://cf.shopee.ph/file/ph-11134207-7r98t-ln44gxyh0njz4d,http://shopee.ph/product/1081021239/22058494783,Skincare,Lip Treatment,IVCN2026082113364,2.17115E+11,https://detail.1688.com/offer/991836815895.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417822059428715391e0eba&token=8GYQZDB3BaXWWAIAHDBKEITWQrHuGCc0noEI1BjX0RDGX8b1mOSzlBMc2MX21x47,1688三档价格,46255,22058494783,15,热销品,,
【悦诗风吟官方】济州兰花眼霜 30ml - 兰花提取物，淡化黑眼圈，紧致肌肤,【悦诗风吟官方】济州兰花眼霜 30ml - 兰花提取物，淡化黑眼圈，紧致肌肤,5,https://cf.shopee.sg/file/sg-11134207-7rff3-m4abrws84o0y10,http://shopee.sg/product/71756544/6508812746,Skincare,Eye Treatment,IVCN2026082113366,41912038589,https://detail.1688.com/offer/810338857161.html?spm=a26352.13672862.offerlist.26.69b8c966KJg8gA&cosite=-&tracelog=p4p&_p_isad=1&clickid=f115b2583a2342c4ac524e1215356170&sessionid=41c85f5597c54563a69d77692937d48c,1688三档价格,46255,6508812746,5,热销品,,
【MEDIHEAL官方产品】畅销爽肤棉片 茶树油 积雪草苷 透明质酸 胶原蛋白 PDRN 维生素C,【新品】植物酶,68.47,https://cf.shopee.ph/file/ph-11134207-820lh-mojgwn88ohse6f,http://shopee.ph/product/1669227975/48751247125,Skincare,Toner,IVCN2026082113368,3.50982E+11,,1688三档价格,46255,48751247125,68.47,热销品,,
【25.7 买一送一 DERLADIE 面膜】10 片装 Luvum 凝胶面膜 33g（凝胶面膜/泥状面膜），密集护理肌肤,5 金箔美白霜,3.4,https://cf.shopee.vn/file/vn-11134207-7ras8-m34fi3ge383y00,http://shopee.vn/product/550486603/27266473108,Skincare,Face Mask & Packs,IVCN2026082113370,1.66778E+11,https://detail.1688.com/offer/687068660750.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,1688三档价格,46255,27266473108,3.4,热销品,,
新品 [P.CALM] 圣罗勒泡泡深层面膜套装 90g + 洁面海绵/毛孔刷,泡泡面膜 + 毛孔清洁刷,19,https://cf.shopee.com.my/file/sg-11134207-7rd3z-m7rk6h0cw7socf,http://shopee.com.my/product/567510249/28730767865,Skincare,Face Mask & Packs,IVCN2026082113372,1.77061E+11,"https://detail.1688.com/offer/849742309035.html?spm=a26352.b28411319.offerlist.80.7cdb1e62Mi9rf2
https://detail.1688.com/offer/949516061730.html?spm=a26352.b28411319.offerlist.15.44421e62QlOs2F",1688三档价格,46255,28730767865,19,热销品,,
悦诗风吟火山泥毛孔清洁面膜 80ml | 控油收缩毛孔 | 推荐用于油性及混合性肌肤,悦诗风吟火山泥毛孔清洁面膜 80ml | 控油收缩毛孔 | 推荐用于油性及混合性肌肤,28.05,https://cf.shopee.com.my/file/sg-11134207-824i1-mpvrxsxlvv2j1f,http://shopee.com.my/product/1639200014/54156505697,Skincare,Face Mask & Packs,IVCN2026082113374,4.00584E+11,,1688三档价格,46255,54156505697,28.05,热销品,,
DRSS Secrets 防晒霜 亮泽型 5M 哑光型 5M 30ml 护肤品,光泽 5,258.59,https://cf.shopee.com.my/file/my-11134207-820l5-mp988auoqryaaf,http://shopee.com.my/product/1848470755/54261912295,Skincare,Face Sunscreen,IVCN2026082113376,3.36035E+11,,1688三档价格,46255,54261912295,258.59,热销品,,
MD CARE NMF益生元精华液 30ml Duduhouse - 平衡益生菌并修复皮肤屏障,10毫升样品,5.03,https://cf.shopee.vn/file/vn-11134207-81ztc-monq78wgms5nea,http://shopee.vn/product/20895938/28823536295,Skincare,Facial Serum & Essence,IVCN2026082113378,1.67058E+11,https://detail.1688.com/offer/820215858485.html?spm=a26352.13672862.offerlist.92.1ba1119bLeQGR2,1688三档价格,46255,28823536295,5.03,热销品,,
悦诗风吟火山泥毛孔细致面膜 80克：一款由火山灰粘土制成的超级面膜，可减少油脂分泌并缩小毛孔。,新型号,26.14,https://cf.shopee.vn/file/vn-11134207-81ztc-mmzw0qtoov7pc0,http://shopee.vn/product/155343961/2355017283,Skincare,Face Mask & Packs,IVCN2026082113380,2.16876E+11,,1688三档价格,46255,2355017283,26.14,热销品,,
氨甲环酸超级精华液，美白淡斑雀斑 - ANHANH,SuperSerum 祛斑霜,8.11,https://cf.shopee.vn/file/vn-11134207-81ztc-mklr5i468vlt65,http://shopee.vn/product/625833956/25171709246,Skincare,Facial Serum & Essence,IVCN2026082113382,2.58702E+11,https://detail.1688.com/offer/989869942807.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,25171709246,8.11,热销品,,
numbuzin No.9 NAD+ PDRN 焕彩爽肤水 150ml,numbuzin No.9 NAD+ PDRN 焕彩爽肤水 150ml,28.69,https://cf.shopee.com.br/file/sg-11134207-7rdyt-mcrihb4ty53067,http://shopee.com.br/product/1339412998/40110746798,Skincare,Toner,IVCN2026082113384,2.60903E+11,,1688三档价格,46255,40110746798,28.69,热销品,,
RTOPR 芒果香味去角质面部磨砂膏可提亮肤色，深层清洁毛孔，并控制油脂分泌。,凝胶去角质*2,6.56,https://cf.shopee.vn/file/cn-11134207-820l4-modprzsq85j5d1,http://shopee.vn/product/322263535/3759715954,Skincare,Face Scrub & Peel,IVCN2026082113386,3.30938E+11,,1688三档价格,46255,3759715954,6.56,热销品,,
Deoproce 绿鱼子精华洁面乳 x2 | 温和去角质，焕发光彩 | 促进胶原蛋白修复,Deoproce 绿鱼子精华洁面乳 x2 | 温和去角质，焕发光彩 | 促进胶原蛋白修复,2.4,https://cf.shopee.ph/file/ph-11134207-81zte-mdy9d479648yc8,http://shopee.ph/product/140340156/40365295855,Skincare,Facial Cleanser,IVCN2026082113388,2.71264E+11,https://detail.1688.com/offer/917117580913.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,1688三档价格,46255,40365295855,2.4,热销品,,
[B1T1] VICE CO. Perfect Kizz Lip Frescas 保湿润唇油 - 轻盈、保湿、滋养,覆盆子汽水,4.5,https://cf.shopee.ph/file/ph-11134207-7ra0j-mck8dapkj0tt47,http://shopee.ph/product/53860691/26311847443,Skincare,Lip Treatment,IVCN2026082113390,1.97821E+11,https://detail.1688.com/offer/922793096678.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,26311847443,4.5,热销品,,
Saludent 美白面霜，SPF50 防晒，淡化色斑，提亮肤色，保湿滋润 100克,日夜霜,10.24,https://cf.shopee.com.my/file/my-11134207-820l9-mn46cd579afc62,http://shopee.com.my/product/1408681910/25888571804,Skincare,Facial Moisturizer,IVCN2026082113622,2.2781E+11,https://detail.1688.com/offer/831280490337.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,25888571804,10.24,热销品,,
celimax 维他命A视网膜紧致精华液，抗衰老，改善皱纹，15毫升,30 天套装,35.12,https://cf.shopee.ph/file/ph-11134207-820l4-motjpdsucveq90,http://shopee.ph/product/617106102/41730705925,Skincare,Facial Serum & Essence,IVCN2026082113394,4.05973E+11,,1688三档价格,46255,41730705925,35.12,热销品,,
Numbuzin No.1 纯正舒缓草本爽肤水 300ml / 新包装,Numbuzin No.1 纯正舒缓草本爽肤水 300ml / 新包装,27.93,https://cf.shopee.sg/file/sg-11134207-81zvi-mity3bnirg1t2e,http://shopee.sg/product/1067363585/24325972959,Skincare,Toner,IVCN2026082113396,2.50695E+11,,1688三档价格,46255,24325972959,27.93,热销品,,
理肤泉 Effaclar 超浓缩面部精华液 30ml,30毫升,65.81,https://cf.shopee.com.br/file/br-11134207-81z1k-mhsr2dw2ckch7c,http://shopee.com.br/product/1121774555/22698359888,Skincare,Facial Serum & Essence,IVCN2026082113398,1.69412E+11,,1688三档价格,46255,22698359888,65.81,热销品,,
LUXE ORGANIX 无油光隐形防晒棒 SPF 100 17克,17克,13.61,https://cf.shopee.ph/file/ph-11134207-820l6-mqd7snfq7wua37,http://shopee.ph/product/1875708829/48513511216,Skincare,Face Sunscreen,IVCN2026082113400,2.72763E+11,,1688三档价格,46255,48513511216,13.61,热销品,,
Aperire Spa舒缓毛孔面膜，泥状面膜，深层清洁油脂，收缩毛孔 120克,绿色的,2.64,https://cf.shopee.vn/file/vn-11134207-81ztc-mpkik0jax2ble9,http://shopee.vn/product/776074609/28909621908,Skincare,Face Mask & Packs,IVCN2026082113402,1.95353E+11,https://detail.1688.com/offer/656666068039.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,28909621908,2.64,热销品,,
Pharmaform 亮肤精华液，3% 氨甲环酸，淡化色斑，提亮肤色，均匀肤色 20毫升,Pharmaform 亮肤精华液，3% 氨甲环酸，淡化色斑，提亮肤色，均匀肤色 20毫升,1.13,https://cf.shopee.vn/file/vn-11134207-820l4-mgg85jkg9frjaa,http://shopee.vn/product/776074609/22800148184,Skincare,Facial Serum & Essence,IVCN2026082113404,1.92736E+11,https://detail.1688.com/offer/659434504936.html?spm=a26352.13672862.offerlist.19.4e161e62xppERn&cosite=-&tracelog=p4p&_p_isad=1&clickid=4591797de6eb4aee8726450c837f0a29&sessionid=4e274a41cb47b41a217936ab472eca51,1688三档价格,46255,22800148184,1.13,热销品,,
妮达青春赋活™ 极致保湿霜 100毫升,乳霜 100毫升,2.52,https://cf.shopee.com.my/file/sg-11134207-820md-mnl49wowlgqr6c,http://shopee.com.my/product/1472585935/50659621568,Skincare,Facial Moisturizer,IVCN2026082114688,3.5085E+11,,1688三档价格,46255,50659621568,2.52,热销品,,
（美国进口）PanOxyl 洗涤剂 过氧化苯甲酰 4%,6盎司,6,https://cf.shopee.ph/file/cn-11134207-820l4-mh5pfmslcb2i08,http://shopee.ph/product/1284290455/46901542214,Skincare,Acne Treatment,IVCN2026082115296,4.4514E+11,https://detail.1688.com/offer/1009554808237.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,46901542214,6,热销品,,
【公司产品】Ekseption 玻尿酸 ZnPCA Mixlab 锌 + 1% ZnPCA 精华液，控油祛痘，75ml,正装 75毫升,7.42,https://cf.shopee.vn/file/vn-11134207-7ras8-mchr7oiqdwki32,http://shopee.vn/product/1579794733/29338924712,Skincare,Facial Serum & Essence,IVCN2026082113410,2.37952E+11,https://detail.1688.com/offer/753015871657.html?spm=a26352.13672862.offerlist.14.33ed1e62P2CTWl&offerId=753015871657&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=3dea6f4f5cee454bae1ec853df2ed3bd&skuId=5363416867849&forcePC=1764224335994,1688三档价格,46255,29338924712,7.42,热销品,,
Nano Skinz SG 完美防晒霜 SPF50+ 50毫升 - 防护 UVA、UVB 和蓝光，呵护肌肤健康,单瓶装,43.06,https://cf.shopee.sg/file/sg-11134305-82633-ml5ti2c3jdvm74,http://shopee.sg/product/88405238/22063872883,Skincare,Face Sunscreen,IVCN2026082113412,2.14916E+11,,1688三档价格,46255,22063872883,43.06,热销品,,
Dear Klairs 柔肤爽肤水 180ml - 无香型爽肤水,Dear Klairs 柔肤爽肤水 180ml - 无香型爽肤水,1.5,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9imzped7ubo97,http://shopee.vn/product/1359073484/25286140735,Skincare,Toner,IVCN2026082113414,2.41615E+11,https://detail.1688.com/offer/691587805175.html?spm=a26352.13672862.offerlist.4.713e3e96IbQxV5,1688三档价格,46255,25286140735,1.5,热销品,,
CeraVe 保湿洁面乳，适合中性至干性肌肤，温和不刺激。,236毫升,7,https://cf.shopee.ph/file/ph-11134207-820l7-mristh952jgg00,http://shopee.ph/product/1512576574/27582355999,Skincare,Facial Cleanser,IVCN2026082113416,2.08394E+11,https://detail.1688.com/offer/945308357639.html?spm=a26352.b28411319.offerlist.6.38521e62C8NrZa,1688三档价格,46255,27582355999,7,热销品,,
肌肤激活精华液，增强肌肤活力 - Cosan Active Boost Serum 30ml,肌肤激活精华液，增强肌肤活力 - Cosan Active Boost Serum 30ml,68.07,https://cf.shopee.vn/file/vn-11134207-7ras8-m3zwobctogww3b,http://shopee.vn/product/1074852737/27721210218,Skincare,Facial Serum & Essence,IVCN2026082113418,2.2361E+11,https://detail.1688.com/offer/746970366752.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=1de9c2bcf78eb06d9f7a691b37467b64&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1C521AF914C00B5096156F70EF5FECE9621276C02A01E064315228774463B0823348394BC3CC3C62B9992F8828C4BE8926AADBDC2CB9560036397744276B06730530AB038B9E75AE4411ADC653BFF12AA33727CF7D22B7A3F1A629DE13AFC4EB52ECF8A377417157E933C882A1264CB5949CCC75CF921F1C6F77634EB7F1BBBACB0E6F9CE97307E69%26cbu_cps_trace_flag%3Dwrite,1688三档价格,46255,27721210218,68.07,热销品,,
【畅销产品】Colorkey 亮采保湿面膜（全新升级版）1盒装，每盒10片,PDRN绿茶,7,https://cf.shopee.vn/file/vn-11134207-81ztc-mq7gx0sco9348a,http://shopee.vn/product/1103552734/27629679055,Skincare,Face Mask & Packs,IVCN2026082113420,1.39282E+11,https://detail.1688.com/offer/1055401921998.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,27629679055,7,热销品,,
优色林无瑕亮白祛斑精华液 5ml - 2 周内淡化色斑 | 护肤,优色林无瑕亮白祛斑精华液 5ml - 2 周内淡化色斑 | 护肤,1,https://cf.shopee.vn/file/vn-11134207-81ztc-mrievrkexmvbf6,http://shopee.vn/product/82297261/2177117875,Skincare,Facial Serum & Essence,IVCN2026082113422,21399263213,https://detail.1688.com/offer/943591247528.html?spm=a26352.13672862.offerlist.128.25f55979w7wxGv&offerId=943591247528&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=cacc3803a01f41eeb263d2dd3775ec97&skuId=5848395565575&forcePC=1769070772318,1688三档价格,46255,2177117875,1,热销品,,
7.7 [Celimax] 视黄醇紧致精华液 15ml / 视黄醇精华 30ml / 改善毛孔，温和配方,两瓶15毫升装 + 一瓶30毫升装,146.65,https://cf.shopee.com.br/file/cn-11134207-820l4-mgnnlpk5ttl40d,http://shopee.com.br/product/1651534043/49100944144,Skincare,Facial Serum & Essence,IVCN2026082113424,4.15084E+11,,1688三档价格,46255,49100944144,146.65,热销品,,
7.7medicubene. 1 Zero Pore Pad 2.0 70 片 155g 去角质 保湿 收缩毛孔 控油,零毛孔气垫粉底，1盒,66.33,https://cf.shopee.com.br/file/cn-11134207-820l4-mhsxwjk64kqr5e,http://shopee.com.br/product/1600713842/50852531667,Skincare,Face Scrub & Peel,IVCN2026082113426,3.30245E+11,,1688三档价格,46255,50852531667,66.33,热销品,,
悦诗风吟维生素C绿茶酵素亮肤精华液 30毫升,悦诗风吟维生素C绿茶酵素亮肤精华液 30毫升,11,https://cf.shopee.com.my/file/sg-11134201-7qvdw-lgue12elkb8a4e,http://shopee.com.my/product/260973304/20788762188,Skincare,Facial Serum & Essence,IVCN2026082116106,2.31606E+11,https://detail.1688.com/offer/951395347427.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,20788762188,11,热销品,,
理肤泉 Cicaplast B5+ 紧急修护霜 - 舒缓受刺激、泛红的肌肤，适合所有年龄段,理肤泉 Cicaplast B5+ 紧急修护霜 - 舒缓受刺激、泛红的肌肤，适合所有年龄段,52.67,https://cf.shopee.vn/file/vn-11134207-81ztc-mohwjy5ufklcec,http://shopee.vn/product/1695900751/54609437123,Skincare,Facial Moisturizer,IVCN2026082113430,4.45834E+11,,1688三档价格,46255,54609437123,52.67,热销品,,
[BIG]PAPA FEEL 577 淡斑精华液 50ml 祛痘印 | 4-丁基间苯二酚 + 烟酰胺 + 熊果苷 + 维生素C + 视黄醇,577 淡斑精华液 50毫升,19.59,https://cf.shopee.ph/file/cn-11134207-7ras8-m8k9p0puxj4tfa,http://shopee.ph/product/935977593/26683380966,Skincare,Facial Serum & Essence,IVCN2026082113432,2.05991E+11,https://detail.1688.com/offer/669718875156.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,26683380966,19.59,热销品,,
理肤泉 Cicaplast Baume B5+ 100ml,理肤泉 Cicaplast Baume B5+ 100ml,58.24,https://cf.shopee.com.my/file/sg-11134201-7rd48-m6so8avtk2oqa2,http://shopee.com.my/product/135870504/29427930196,Skincare,Facial Moisturizer,IVCN2026082113434,2.15833E+11,,1688三档价格,46255,29427930196,58.24,热销品,,
Celimax 毛孔细致+淡斑亮肤棉片，均匀肤色 40片/80片装,80片,76.03,https://cf.shopee.sg/file/sg-11134207-82586-mrbg054iyubm93,http://shopee.sg/product/1629872719/43469659850,Skincare,Toner,IVCN2026082113436,2.62839E+11,,1688三档价格,46255,43469659850,76.03,热销品,,
丝塔芙祛痘控油泡沫洁面乳（236毫升）,236毫升,4.24,https://cf.shopee.com.my/file/my-11134207-820l7-mp4mp6ccxwr276,http://shopee.com.my/product/112778093/8051318674,Skincare,Facial Cleanser,IVCN2026082113438,2.45597E+11,https://detail.1688.com/offer/974783509382.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i35&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,8051318674,4.24,热销品,,
旁氏水光焕肤精华液 30克,旁氏水光焕肤精华液 30克,7.5,https://cf.shopee.ph/file/ph-11134207-7ras8-maaw9hhppejyfe,http://shopee.ph/product/40867978/41950839215,Skincare,Facial Serum & Essence,IVCN2026082113440,2.75067E+11,https://detail.1688.com/offer/974081566667.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,41950839215,7.5,热销品,,
Glad2Glow 蓝莓神经酰胺低 pH 值凝胶洁面乳（70ml）面部护肤洁面油祛痘洁面乳,3件,11.4,https://cf.shopee.com.my/file/my-11134207-7rash-mcbs5jfz2qvff6,http://shopee.com.my/product/1397279926/28417622188,Skincare,Facial Cleanser,IVCN2026082113442,2.85751E+11,https://detail.1688.com/offer/890172000672.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,46255,28417622188,11.4,热销品,,
Glad2Glow亮白保湿霜 提亮肤色 30克 防晒SPF 懒人霜,30克-FS,10.5,https://cf.shopee.com.my/file/my-11134207-7rask-m54an5pcu16149,http://shopee.com.my/product/1397279926/26123787866,Skincare,Facial Moisturizer,IVCN2026082113444,1.38191E+11,,1688三档价格,46255,26123787866,10.5,热销品,,
